# cortex-m85 string bench; CPUID=0x411FD231 REPS=15
# columns: R,phase,func,impl,n,dst_off,src_off,min_cycles,median_cycles
# phase 0 CCR=0x00000201 overhead=69
R,0,memcpy,autovec,1000,0,0,1498,1521
R,0,memcpy,autovec,1000,1,1,2427,2526
R,0,memcpy,autovec,1000,1,3,2491,2515
R,0,memcpy,autovec,1024,0,0,1527,1583
R,0,memcpy,autovec,1024,1,1,2543,2571
R,0,memcpy,autovec,1024,1,3,2542,2574
R,0,memcpy,autovec,4096,0,0,5931,6094
R,0,memcpy,autovec,4096,1,1,9828,10094
R,0,memcpy,autovec,4096,1,3,9835,10094
R,0,memcpy,autovec,8192,0,0,12026,12154
R,0,memcpy,autovec,8192,1,1,19901,20120
R,0,memcpy,autovec,8192,1,3,19922,20110
R,0,memcpy,autovec,16384,0,0,24079,24240
R,0,memcpy,autovec,16384,1,1,40006,40171
R,0,memcpy,autovec,16384,1,3,39970,40214
R,0,memcpy,picolibc,1,0,0,119,119
R,0,memcpy,picolibc,1,1,1,119,119
R,0,memcpy,picolibc,1,1,3,119,127
R,0,memcpy,picolibc,2,0,0,121,124
R,0,memcpy,picolibc,2,1,1,124,132
R,0,memcpy,picolibc,2,1,3,124,124
R,0,memcpy,picolibc,3,0,0,124,124
R,0,memcpy,picolibc,3,1,1,124,124
R,0,memcpy,picolibc,3,1,3,124,124
R,0,memcpy,picolibc,4,0,0,115,117
R,0,memcpy,picolibc,4,1,1,123,126
R,0,memcpy,picolibc,4,1,3,126,127
R,0,memcpy,picolibc,7,0,0,119,119
R,0,memcpy,picolibc,7,1,1,195,202
R,0,memcpy,picolibc,7,1,3,195,205
R,0,memcpy,picolibc,8,0,0,141,145
R,0,memcpy,picolibc,8,1,1,175,182
R,0,memcpy,picolibc,8,1,3,175,180
R,0,memcpy,picolibc,15,0,0,179,183
R,0,memcpy,picolibc,15,1,1,235,241
R,0,memcpy,picolibc,15,1,3,235,240
R,0,memcpy,picolibc,16,0,0,139,147
R,0,memcpy,picolibc,16,1,1,235,241
R,0,memcpy,picolibc,16,1,3,235,241
R,0,memcpy,picolibc,17,0,0,142,154
R,0,memcpy,picolibc,17,1,1,232,238
R,0,memcpy,picolibc,17,1,3,233,239
R,0,memcpy,picolibc,31,0,0,203,207
R,0,memcpy,picolibc,31,1,1,259,268
R,0,memcpy,picolibc,31,1,3,270,276
R,0,memcpy,picolibc,32,0,0,191,191
R,0,memcpy,picolibc,32,1,1,259,276
R,0,memcpy,picolibc,32,1,3,270,284
R,0,memcpy,picolibc,33,0,0,194,201
R,0,memcpy,picolibc,33,1,1,256,264
R,0,memcpy,picolibc,33,1,3,268,285
R,0,memcpy,picolibc,63,0,0,307,317
R,0,memcpy,picolibc,63,1,1,363,381
R,0,memcpy,picolibc,63,1,3,386,407
R,0,memcpy,picolibc,64,0,0,251,279
R,0,memcpy,picolibc,64,1,1,363,372
R,0,memcpy,picolibc,64,1,3,386,398
R,0,memcpy,picolibc,65,0,0,250,277
R,0,memcpy,picolibc,65,1,1,360,379
R,0,memcpy,picolibc,65,1,3,384,400
R,0,memcpy,picolibc,100,0,0,328,352
R,0,memcpy,picolibc,100,1,1,391,425
R,0,memcpy,picolibc,100,1,3,412,449
R,0,memcpy,picolibc,128,0,0,411,441
R,0,memcpy,picolibc,128,1,1,500,533
R,0,memcpy,picolibc,128,1,3,531,565
R,0,memcpy,picolibc,255,0,0,764,840
R,0,memcpy,picolibc,255,1,1,829,891
R,0,memcpy,picolibc,255,1,3,873,947
R,0,memcpy,picolibc,256,0,0,740,814
R,0,memcpy,picolibc,256,1,1,840,891
R,0,memcpy,picolibc,256,1,3,875,945
R,0,memcpy,picolibc,512,0,0,1429,1475
R,0,memcpy,picolibc,512,1,1,1521,1572
R,0,memcpy,picolibc,512,1,3,1640,1691
R,0,memcpy,picolibc,1000,0,0,2801,2841
R,0,memcpy,picolibc,1000,1,1,2821,2877
R,0,memcpy,picolibc,1000,1,3,3007,3092
R,0,memcpy,picolibc,1024,0,0,2857,2900
R,0,memcpy,picolibc,1024,1,1,2956,2998
R,0,memcpy,picolibc,1024,1,3,3142,3203
R,0,memcpy,picolibc,4096,0,0,11185,11300
R,0,memcpy,picolibc,4096,1,1,11284,11424
R,0,memcpy,picolibc,4096,1,3,11986,12206
R,0,memcpy,picolibc,8192,0,0,22372,22512
R,0,memcpy,picolibc,8192,1,1,22478,22662
R,0,memcpy,picolibc,8192,1,3,23931,24119
R,0,memcpy,picolibc,16384,0,0,44824,44900
R,0,memcpy,picolibc,16384,1,1,44908,45099
R,0,memcpy,picolibc,16384,1,3,48018,48173
R,0,memcpy,llvm-libc,1,0,0,143,145
R,0,memcpy,llvm-libc,1,1,1,193,197
R,0,memcpy,llvm-libc,1,1,3,193,197
R,0,memcpy,llvm-libc,2,0,0,163,167
R,0,memcpy,llvm-libc,2,1,1,163,167
R,0,memcpy,llvm-libc,2,1,3,163,167
R,0,memcpy,llvm-libc,3,0,0,154,154
R,0,memcpy,llvm-libc,3,1,1,187,189
R,0,memcpy,llvm-libc,3,1,3,183,187
R,0,memcpy,llvm-libc,4,0,0,153,157
R,0,memcpy,llvm-libc,4,1,1,143,147
R,0,memcpy,llvm-libc,4,1,3,147,147
R,0,memcpy,llvm-libc,7,0,0,156,160
R,0,memcpy,llvm-libc,7,1,1,173,173
R,0,memcpy,llvm-libc,7,1,3,171,175
R,0,memcpy,llvm-libc,8,0,0,173,177
R,0,memcpy,llvm-libc,8,1,1,195,201
R,0,memcpy,llvm-libc,8,1,3,197,197
R,0,memcpy,llvm-libc,15,0,0,191,195
R,0,memcpy,llvm-libc,15,1,1,247,248
R,0,memcpy,llvm-libc,15,1,3,247,249
R,0,memcpy,llvm-libc,16,0,0,190,194
R,0,memcpy,llvm-libc,16,1,1,234,236
R,0,memcpy,llvm-libc,16,1,3,235,235
R,0,memcpy,llvm-libc,17,0,0,176,184
R,0,memcpy,llvm-libc,17,1,1,257,265
R,0,memcpy,llvm-libc,17,1,3,257,263
R,0,memcpy,llvm-libc,31,0,0,215,232
R,0,memcpy,llvm-libc,31,1,1,271,285
R,0,memcpy,llvm-libc,31,1,3,269,275
R,0,memcpy,llvm-libc,32,0,0,232,232
R,0,memcpy,llvm-libc,32,1,1,258,266
R,0,memcpy,llvm-libc,32,1,3,261,272
R,0,memcpy,llvm-libc,33,0,0,218,218
R,0,memcpy,llvm-libc,33,1,1,281,285
R,0,memcpy,llvm-libc,33,1,3,283,300
R,0,memcpy,llvm-libc,63,0,0,303,333
R,0,memcpy,llvm-libc,63,1,1,355,378
R,0,memcpy,llvm-libc,63,1,3,368,397
R,0,memcpy,llvm-libc,64,0,0,279,298
R,0,memcpy,llvm-libc,64,1,1,338,368
R,0,memcpy,llvm-libc,64,1,3,356,387
R,0,memcpy,llvm-libc,65,0,0,265,288
R,0,memcpy,llvm-libc,65,1,1,365,389
R,0,memcpy,llvm-libc,65,1,3,378,412
R,0,memcpy,llvm-libc,100,0,0,355,392
R,0,memcpy,llvm-libc,100,1,1,400,432
R,0,memcpy,llvm-libc,100,1,3,421,470
R,0,memcpy,llvm-libc,128,0,0,429,473
R,0,memcpy,llvm-libc,128,1,1,494,522
R,0,memcpy,llvm-libc,128,1,3,502,561
R,0,memcpy,llvm-libc,255,0,0,748,827
R,0,memcpy,llvm-libc,255,1,1,807,889
R,0,memcpy,llvm-libc,255,1,3,840,963
R,0,memcpy,llvm-libc,256,0,0,749,834
R,0,memcpy,llvm-libc,256,1,1,774,857
R,0,memcpy,llvm-libc,256,1,3,826,921
R,0,memcpy,llvm-libc,512,0,0,1419,1475
R,0,memcpy,llvm-libc,512,1,1,1475,1551
R,0,memcpy,llvm-libc,512,1,3,1590,1659
R,0,memcpy,llvm-libc,1000,0,0,2765,2779
R,0,memcpy,llvm-libc,1000,1,1,2776,2811
R,0,memcpy,llvm-libc,1000,1,3,2899,3027
R,0,memcpy,llvm-libc,1024,0,0,2807,2843
R,0,memcpy,llvm-libc,1024,1,1,2855,2900
R,0,memcpy,llvm-libc,1024,1,3,3068,3123
R,0,memcpy,llvm-libc,4096,0,0,10827,11010
R,0,memcpy,llvm-libc,4096,1,1,10895,11049
R,0,memcpy,llvm-libc,4096,1,3,11770,11943
R,0,memcpy,llvm-libc,8192,0,0,21671,21842
R,0,memcpy,llvm-libc,8192,1,1,21758,21941
R,0,memcpy,llvm-libc,8192,1,3,23550,23698
R,0,memcpy,llvm-libc,16384,0,0,43337,43493
R,0,memcpy,llvm-libc,16384,1,1,43511,43600
R,0,memcpy,llvm-libc,16384,1,3,46991,47157
R,0,memcpy,mve16,1,0,0,77,81
R,0,memcpy,mve16,1,1,1,79,83
R,0,memcpy,mve16,1,1,3,79,83
R,0,memcpy,mve16,2,0,0,78,81
R,0,memcpy,mve16,2,1,1,79,83
R,0,memcpy,mve16,2,1,3,79,83
R,0,memcpy,mve16,3,0,0,78,81
R,0,memcpy,mve16,3,1,1,83,83
R,0,memcpy,mve16,3,1,3,82,83
R,0,memcpy,mve16,4,0,0,81,81
R,0,memcpy,mve16,4,1,1,79,83
R,0,memcpy,mve16,4,1,3,82,83
R,0,memcpy,mve16,7,0,0,81,81
R,0,memcpy,mve16,7,1,1,79,83
R,0,memcpy,mve16,7,1,3,86,90
R,0,memcpy,mve16,8,0,0,78,85
R,0,memcpy,mve16,8,1,1,90,93
R,0,memcpy,mve16,8,1,3,86,90
R,0,memcpy,mve16,15,0,0,85,88
R,0,memcpy,mve16,15,1,1,97,97
R,0,memcpy,mve16,15,1,3,98,98
R,0,memcpy,mve16,16,0,0,88,88
R,0,memcpy,mve16,16,1,1,98,98
R,0,memcpy,mve16,16,1,3,94,102
R,0,memcpy,mve16,17,0,0,99,102
R,0,memcpy,mve16,17,1,1,117,117
R,0,memcpy,mve16,17,1,3,117,123
R,0,memcpy,mve16,31,0,0,110,110
R,0,memcpy,mve16,31,1,1,131,137
R,0,memcpy,mve16,31,1,3,132,138
R,0,memcpy,mve16,32,0,0,110,118
R,0,memcpy,mve16,32,1,1,132,138
R,0,memcpy,mve16,32,1,3,132,138
R,0,memcpy,mve16,33,0,0,123,133
R,0,memcpy,mve16,33,1,1,151,161
R,0,memcpy,mve16,33,1,3,147,151
R,0,memcpy,mve16,63,0,0,152,162
R,0,memcpy,mve16,63,1,1,199,209
R,0,memcpy,mve16,63,1,3,196,205
R,0,memcpy,mve16,64,0,0,152,162
R,0,memcpy,mve16,64,1,1,200,210
R,0,memcpy,mve16,64,1,3,200,224
R,0,memcpy,mve16,65,0,0,165,183
R,0,memcpy,mve16,65,1,1,219,233
R,0,memcpy,mve16,65,1,3,219,247
R,0,memcpy,mve16,100,0,0,207,217
R,0,memcpy,mve16,100,1,1,287,315
R,0,memcpy,mve16,100,1,3,287,317
R,0,memcpy,mve16,128,0,0,236,259
R,0,memcpy,mve16,128,1,1,336,390
R,0,memcpy,mve16,128,1,3,336,390
R,0,memcpy,mve16,255,0,0,404,453
R,0,memcpy,mve16,255,1,1,607,698
R,0,memcpy,mve16,255,1,3,644,690
R,0,memcpy,mve16,256,0,0,404,450
R,0,memcpy,mve16,256,1,1,608,702
R,0,memcpy,mve16,256,1,3,612,702
R,0,memcpy,mve16,512,0,0,740,832
R,0,memcpy,mve16,512,1,1,1244,1322
R,0,memcpy,mve16,512,1,3,1260,1323
R,0,memcpy,mve16,1000,0,0,1498,1567
R,0,memcpy,mve16,1000,1,1,2484,2514
R,0,memcpy,mve16,1000,1,3,2414,2519
R,0,memcpy,mve16,1024,0,0,1504,1573
R,0,memcpy,mve16,1024,1,1,2498,2570
R,0,memcpy,mve16,1024,1,3,2554,2572
R,0,memcpy,mve16,4096,0,0,5950,6075
R,0,memcpy,mve16,4096,1,1,9834,10091
R,0,memcpy,mve16,4096,1,3,9820,10087
R,0,memcpy,mve16,8192,0,0,11993,12158
R,0,memcpy,mve16,8192,1,1,19889,20133
R,0,memcpy,mve16,8192,1,3,19923,20118
R,0,memcpy,mve16,16384,0,0,23826,24242
R,0,memcpy,mve16,16384,1,1,39972,40208
R,0,memcpy,mve16,16384,1,3,39786,40149
R,0,memcpy,mve64,1,0,0,111,111
R,0,memcpy,mve64,1,1,1,113,116
R,0,memcpy,mve64,1,1,3,113,113
R,0,memcpy,mve64,2,0,0,111,111
R,0,memcpy,mve64,2,1,1,113,116
R,0,memcpy,mve64,2,1,3,113,113
R,0,memcpy,mve64,3,0,0,111,115
R,0,memcpy,mve64,3,1,1,113,121
R,0,memcpy,mve64,3,1,3,113,113
R,0,memcpy,mve64,4,0,0,111,115
R,0,memcpy,mve64,4,1,1,113,115
R,0,memcpy,mve64,4,1,3,109,113
R,0,memcpy,mve64,7,0,0,111,111
R,0,memcpy,mve64,7,1,1,109,113
R,0,memcpy,mve64,7,1,3,120,124
R,0,memcpy,mve64,8,0,0,111,111
R,0,memcpy,mve64,8,1,1,120,125
R,0,memcpy,mve64,8,1,3,120,124
R,0,memcpy,mve64,15,0,0,118,118
R,0,memcpy,mve64,15,1,1,127,133
R,0,memcpy,mve64,15,1,3,128,130
R,0,memcpy,mve64,16,0,0,111,111
R,0,memcpy,mve64,16,1,1,117,121
R,0,memcpy,mve64,16,1,3,121,121
R,0,memcpy,mve64,17,0,0,127,130
R,0,memcpy,mve64,17,1,1,135,139
R,0,memcpy,mve64,17,1,3,139,147
R,0,memcpy,mve64,31,0,0,134,136
R,0,memcpy,mve64,31,1,1,149,161
R,0,memcpy,mve64,31,1,3,154,154
R,0,memcpy,mve64,32,0,0,132,132
R,0,memcpy,mve64,32,1,1,152,160
R,0,memcpy,mve64,32,1,3,152,162
R,0,memcpy,mve64,33,0,0,148,156
R,0,memcpy,mve64,33,1,1,170,170
R,0,memcpy,mve64,33,1,3,170,184
R,0,memcpy,mve64,63,0,0,176,196
R,0,memcpy,mve64,63,1,1,214,224
R,0,memcpy,mve64,63,1,3,215,225
R,0,memcpy,mve64,64,0,0,154,161
R,0,memcpy,mve64,64,1,1,204,213
R,0,memcpy,mve64,64,1,3,204,217
R,0,memcpy,mve64,65,0,0,171,187
R,0,memcpy,mve64,65,1,1,225,235
R,0,memcpy,mve64,65,1,3,225,243
R,0,memcpy,mve64,100,0,0,224,228
R,0,memcpy,mve64,100,1,1,294,306
R,0,memcpy,mve64,100,1,3,294,304
R,0,memcpy,mve64,128,0,0,241,258
R,0,memcpy,mve64,128,1,1,327,365
R,0,memcpy,mve64,128,1,3,327,374
R,0,memcpy,mve64,255,0,0,414,439
R,0,memcpy,mve64,255,1,1,590,642
R,0,memcpy,mve64,255,1,3,581,621
R,0,memcpy,mve64,256,0,0,399,441
R,0,memcpy,mve64,256,1,1,569,658
R,0,memcpy,mve64,256,1,3,569,642
R,0,memcpy,mve64,512,0,0,732,813
R,0,memcpy,mve64,512,1,1,1165,1182
R,0,memcpy,mve64,512,1,3,1111,1150
R,0,memcpy,mve64,1000,0,0,1422,1479
R,0,memcpy,mve64,1000,1,1,2194,2258
R,0,memcpy,mve64,1000,1,3,2191,2257
R,0,memcpy,mve64,1024,0,0,1454,1495
R,0,memcpy,mve64,1024,1,1,2242,2282
R,0,memcpy,mve64,1024,1,3,2232,2283
R,0,memcpy,mve64,4096,0,0,5645,5777
R,0,memcpy,mve64,4096,1,1,8626,8823
R,0,memcpy,mve64,4096,1,3,8634,8835
R,0,memcpy,mve64,8192,0,0,11221,11370
R,0,memcpy,mve64,8192,1,1,17355,17622
R,0,memcpy,mve64,8192,1,3,17405,17548
R,0,memcpy,mve64,16384,0,0,22470,22689
R,0,memcpy,mve64,16384,1,1,34917,35072
R,0,memcpy,mve64,16384,1,3,34880,35033
R,0,memmove_fwd,byte,1,0,0,142,142
R,0,memmove_fwd,byte,1,1,0,138,142
R,0,memmove_fwd,byte,2,0,0,162,164
R,0,memmove_fwd,byte,2,1,0,162,162
R,0,memmove_fwd,byte,3,0,0,177,177
R,0,memmove_fwd,byte,3,1,0,173,183
R,0,memmove_fwd,byte,4,0,0,184,205
R,0,memmove_fwd,byte,4,1,0,184,202
R,0,memmove_fwd,byte,7,0,0,212,216
R,0,memmove_fwd,byte,7,1,0,212,212
R,0,memmove_fwd,byte,8,0,0,229,233
R,0,memmove_fwd,byte,8,1,0,229,237
R,0,memmove_fwd,byte,15,0,0,311,338
R,0,memmove_fwd,byte,15,1,0,310,327
R,0,memmove_fwd,byte,16,0,0,327,359
R,0,memmove_fwd,byte,16,1,0,335,356
R,0,memmove_fwd,byte,17,0,0,329,342
R,0,memmove_fwd,byte,17,1,0,329,347
R,0,memmove_fwd,byte,31,0,0,494,537
R,0,memmove_fwd,byte,31,1,0,492,533
R,0,memmove_fwd,byte,32,0,0,513,560
R,0,memmove_fwd,byte,32,1,0,530,579
R,0,memmove_fwd,byte,33,0,0,520,564
R,0,memmove_fwd,byte,33,1,0,515,572
R,0,memmove_fwd,byte,63,0,0,897,955
R,0,memmove_fwd,byte,63,1,0,903,955
R,0,memmove_fwd,byte,64,0,0,901,977
R,0,memmove_fwd,byte,64,1,0,941,1015
R,0,memmove_fwd,byte,65,0,0,931,1016
R,0,memmove_fwd,byte,65,1,0,912,996
R,0,memmove_fwd,byte,100,0,0,1297,1423
R,0,memmove_fwd,byte,100,1,0,1428,1507
R,0,memmove_fwd,byte,128,0,0,1741,1778
R,0,memmove_fwd,byte,128,1,0,1843,1866
R,0,memmove_fwd,byte,255,0,0,3301,3430
R,0,memmove_fwd,byte,255,1,0,3344,3421
R,0,memmove_fwd,byte,256,0,0,3279,3431
R,0,memmove_fwd,byte,256,1,0,3536,3624
R,0,memmove_fwd,byte,512,0,0,6619,6704
R,0,memmove_fwd,byte,512,1,0,6999,7102
R,0,memmove_fwd,byte,1000,0,0,12790,12970
R,0,memmove_fwd,byte,1000,1,0,13583,13712
R,0,memmove_fwd,byte,1024,0,0,13133,13283
R,0,memmove_fwd,byte,1024,1,0,13910,14044
R,0,memmove_fwd,byte,4096,0,0,52532,52671
R,0,memmove_fwd,byte,4096,1,0,55602,55760
R,0,memmove_fwd,byte,8192,0,0,105069,105211
R,0,memmove_fwd,byte,8192,1,0,111281,111415
R,0,memmove_fwd,byte,16384,0,0,210062,210277
R,0,memmove_fwd,byte,16384,1,0,222448,222696
R,0,memmove_fwd,picolibc,1,0,0,112,116
R,0,memmove_fwd,picolibc,1,1,0,116,122
R,0,memmove_fwd,picolibc,2,0,0,145,150
R,0,memmove_fwd,picolibc,2,1,0,145,145
R,0,memmove_fwd,picolibc,3,0,0,167,172
R,0,memmove_fwd,picolibc,3,1,0,163,172
R,0,memmove_fwd,picolibc,4,0,0,199,203
R,0,memmove_fwd,picolibc,4,1,0,170,173
R,0,memmove_fwd,picolibc,7,0,0,264,276
R,0,memmove_fwd,picolibc,7,1,0,225,233
R,0,memmove_fwd,picolibc,8,0,0,210,214
R,0,memmove_fwd,picolibc,8,1,0,226,226
R,0,memmove_fwd,picolibc,15,0,0,308,311
R,0,memmove_fwd,picolibc,15,1,0,339,348
R,0,memmove_fwd,picolibc,16,0,0,243,247
R,0,memmove_fwd,picolibc,16,1,0,333,359
R,0,memmove_fwd,picolibc,17,0,0,257,262
R,0,memmove_fwd,picolibc,17,1,0,352,356
R,0,memmove_fwd,picolibc,31,0,0,357,364
R,0,memmove_fwd,picolibc,31,1,0,531,551
R,0,memmove_fwd,picolibc,32,0,0,293,301
R,0,memmove_fwd,picolibc,32,1,0,535,568
R,0,memmove_fwd,picolibc,33,0,0,303,319
R,0,memmove_fwd,picolibc,33,1,0,542,577
R,0,memmove_fwd,picolibc,63,0,0,444,472
R,0,memmove_fwd,picolibc,63,1,0,934,983
R,0,memmove_fwd,picolibc,64,0,0,334,358
R,0,memmove_fwd,picolibc,64,1,0,955,990
R,0,memmove_fwd,picolibc,65,0,0,348,372
R,0,memmove_fwd,picolibc,65,1,0,950,999
R,0,memmove_fwd,picolibc,100,0,0,457,489
R,0,memmove_fwd,picolibc,100,1,0,1456,1494
R,0,memmove_fwd,picolibc,128,0,0,504,555
R,0,memmove_fwd,picolibc,128,1,0,1788,1892
R,0,memmove_fwd,picolibc,255,0,0,939,1015
R,0,memmove_fwd,picolibc,255,1,0,3477,3524
R,0,memmove_fwd,picolibc,256,0,0,844,920
R,0,memmove_fwd,picolibc,256,1,0,3611,3679
R,0,memmove_fwd,picolibc,512,0,0,1627,1692
R,0,memmove_fwd,picolibc,512,1,0,7120,7233
R,0,memmove_fwd,picolibc,1000,0,0,3148,3190
R,0,memmove_fwd,picolibc,1000,1,0,13880,13976
R,0,memmove_fwd,picolibc,1024,0,0,3151,3221
R,0,memmove_fwd,picolibc,1024,1,0,14128,14259
R,0,memmove_fwd,picolibc,4096,0,0,12348,12393
R,0,memmove_fwd,picolibc,4096,1,0,56552,56768
R,0,memmove_fwd,picolibc,8192,0,0,24522,24671
R,0,memmove_fwd,picolibc,8192,1,0,113138,113366
R,0,memmove_fwd,picolibc,16384,0,0,48908,49088
R,0,memmove_fwd,picolibc,16384,1,0,226551,226802
R,0,memmove_fwd,llvm-libc,1,0,0,176,182
R,0,memmove_fwd,llvm-libc,1,1,0,228,232
R,0,memmove_fwd,llvm-libc,2,0,0,202,206
R,0,memmove_fwd,llvm-libc,2,1,0,202,202
R,0,memmove_fwd,llvm-libc,3,0,0,189,194
R,0,memmove_fwd,llvm-libc,3,1,0,222,222
R,0,memmove_fwd,llvm-libc,4,0,0,188,192
