# hsearch bench, Cortex-M85, I+D cache on, keys 4-19 chars
# columns: R,impl,op,n,total_cycles,ops,peak_alloc_bytes
R,fnv1a/grp16mve,insert_grow,4096,2680681,4096,110656
R,llvm,insert@7/8,14,11943,14,192
R,llvm,find_hit@7/8,14,12301,14,0
R,llvm,find_miss@7/8,14,11447,14,0
R,llvm+grp8,insert@7/8,14,12193,14,192
R,llvm+grp8,find_hit@7/8,14,12398,14,0
R,llvm+grp8,find_miss@7/8,14,11471,14,0
R,llvm+mveGroup,insert@7/8,14,12038,14,200
R,llvm+mveGroup,find_hit@7/8,14,12177,14,0
R,llvm+mveGroup,find_miss@7/8,14,11315,14,0
R,fnv1a/grp4,insert@7/8,14,3497,14,160
R,fnv1a/grp4,find_hit@7/8,14,3997,14,0
R,fnv1a/grp4,find_miss@7/8,14,3104,14,0
R,fnv1a/grp8,insert@7/8,14,3662,14,168
R,fnv1a/grp8,find_hit@7/8,14,4061,14,0
R,fnv1a/grp8,find_miss@7/8,14,3169,14,0
R,fnv1a/grp16mve,insert@7/8,14,3739,14,176
R,fnv1a/grp16mve,find_hit@7/8,14,3851,14,0
R,fnv1a/grp16mve,find_miss@7/8,14,2983,14,0
R,llvm,insert@7/8,56,45537,56,624
R,llvm,find_hit@7/8,56,47131,56,0
R,llvm,find_miss@7/8,56,44779,56,0
R,llvm+grp8,insert@7/8,56,46187,56,624
R,llvm+grp8,find_hit@7/8,56,47222,56,0
R,llvm+grp8,find_miss@7/8,56,44598,56,0
R,llvm+mveGroup,insert@7/8,56,45774,56,632
R,llvm+mveGroup,find_hit@7/8,56,46708,56,0
R,llvm+mveGroup,find_miss@7/8,56,43804,56,0
R,fnv1a/grp4,insert@7/8,56,13743,56,592
R,fnv1a/grp4,find_hit@7/8,56,15224,56,0
R,fnv1a/grp4,find_miss@7/8,56,11959,56,0
R,fnv1a/grp8,insert@7/8,56,14400,56,600
R,fnv1a/grp8,find_hit@7/8,56,15178,56,0
R,fnv1a/grp8,find_miss@7/8,56,12351,56,0
R,fnv1a/grp16mve,insert@7/8,56,14139,56,608
R,fnv1a/grp16mve,find_hit@7/8,56,14486,56,0
R,fnv1a/grp16mve,find_miss@7/8,56,11495,56,0
R,llvm,insert@7/8,224,182703,224,2352
R,llvm,find_hit@7/8,224,188642,224,0
R,llvm,find_miss@7/8,224,181490,224,0
R,llvm+grp8,insert@7/8,224,185052,224,2352
R,llvm+grp8,find_hit@7/8,224,188739,224,0
R,llvm+grp8,find_miss@7/8,224,181806,224,0
R,llvm+mveGroup,insert@7/8,224,183510,224,2360
R,llvm+mveGroup,find_hit@7/8,224,186364,224,0
R,llvm+mveGroup,find_miss@7/8,224,176660,224,0
R,fnv1a/grp4,insert@7/8,224,54636,224,2320
R,fnv1a/grp4,find_hit@7/8,224,60112,224,0
R,fnv1a/grp4,find_miss@7/8,224,51883,224,0
R,fnv1a/grp8,insert@7/8,224,57643,224,2328
R,fnv1a/grp8,find_hit@7/8,224,60634,224,0
R,fnv1a/grp8,find_miss@7/8,224,55105,224,0
R,fnv1a/grp16mve,insert@7/8,224,55909,224,2336
R,fnv1a/grp16mve,find_hit@7/8,224,56973,224,0
R,fnv1a/grp16mve,find_miss@7/8,224,50247,224,0
R,llvm,insert@7/8,896,725500,896,9264
R,llvm,find_hit@7/8,896,753333,896,0
R,llvm,find_miss@7/8,896,711452,896,0
R,llvm+grp8,insert@7/8,896,735639,896,9264
R,llvm+grp8,find_hit@7/8,896,754690,896,0
R,llvm+grp8,find_miss@7/8,896,717107,896,0
R,llvm+mveGroup,insert@7/8,896,730093,896,9272
R,llvm+mveGroup,find_hit@7/8,896,745084,896,0
R,llvm+mveGroup,find_miss@7/8,896,694954,896,0
R,fnv1a/grp4,insert@7/8,896,222949,896,9232
R,fnv1a/grp4,find_hit@7/8,896,249409,896,0
R,fnv1a/grp4,find_miss@7/8,896,207097,896,0
R,fnv1a/grp8,insert@7/8,896,234924,896,9240
R,fnv1a/grp8,find_hit@7/8,896,250626,896,0
R,fnv1a/grp8,find_miss@7/8,896,215478,896,0
R,fnv1a/grp16mve,insert@7/8,896,228274,896,9248
R,fnv1a/grp16mve,find_hit@7/8,896,235482,896,0
R,fnv1a/grp16mve,find_miss@7/8,896,195512,896,0
R,llvm,insert@7/8,3584,2924217,3584,36912
R,llvm,find_hit@7/8,3584,3043393,3584,0
R,llvm,find_miss@7/8,3584,2908195,3584,0
R,llvm+grp8,insert@7/8,3584,2969166,3584,36912
R,llvm+grp8,find_hit@7/8,3584,3051078,3584,0
R,llvm+grp8,find_miss@7/8,3584,2942294,3584,0
R,llvm+mveGroup,insert@7/8,3584,2950571,3584,36920
R,llvm+mveGroup,find_hit@7/8,3584,3016606,3584,0
R,llvm+mveGroup,find_miss@7/8,3584,2851905,3584,0
R,fnv1a/grp4,insert@7/8,3584,918881,3584,36880
R,fnv1a/grp4,find_hit@7/8,3584,1032154,3584,0
R,fnv1a/grp4,find_miss@7/8,3584,881149,3584,0
R,fnv1a/grp8,insert@7/8,3584,969456,3584,36888
R,fnv1a/grp8,find_hit@7/8,3584,1041242,3584,0
R,fnv1a/grp8,find_miss@7/8,3584,912322,3584,0
R,fnv1a/grp16mve,insert@7/8,3584,943894,3584,36896
R,fnv1a/grp16mve,find_hit@7/8,3584,982798,3584,0
R,fnv1a/grp16mve,find_miss@7/8,3584,840915,3584,0
R,llvm,hash_only,1024,714680,1024,0
R,fnv1a/grp4,hash_only,1024,135965,1024,0
# fails=0
END
